label,prompt_length,long_prefill_iterations,decode_while_prefill_iterations,zero_decode_iterations,max_decode_tpot_ms,p50_decode_tpot_ms,p95_decode_tpot_ms,long_prompt_finish_ms
chunked,4096,3,3,0,40.46981409192085,3.9313286542892456,40.46981409192085,103.04569080471992
chunked,8192,5,5,0,41.22272878885269,29.180631041526794,41.22272878885269,165.00625759363174
chunked,16384,9,9,0,66.38383865356445,30.609343200922012,66.38383865356445,393.0106312036514
